id,OCCUPATION_42,Sex,Insee_code,is_student,ACTIVITY_TYPE,household,credential,age_2018,target
322,"csp_8_5","Female","01135",FALSE,"AT.2.4","ft3.2","dip1-5",26,"P"
323,"csp_6_7","Female","01136",FALSE,"AT.1.1","ft3.2","dip1-5",40,"J"
326,"csp_7_5","Male","01138",FALSE,"AT.2.1","ft1.1","dip1-7",87,"J"
328,"csp_5_3","Male","01138",FALSE,"AT.1.1","ft1.1","dip1-7",38,"J"
329,"csp_8_5","Female","01138",FALSE,"AT.2.4","ft4.4","dip1-6",49,"P"
331,"csp_5_5","Male","01140",FALSE,"AT.1.1","ft1.1","dip1-4",45,"J"
332,"csp_8_5","Female","01142",FALSE,"AT.2.4","ft4.2","dip1-8",31,"J"
333,"csp_5_2","Male","01142",FALSE,"AT.1.1","ft4.1","dip1-3",28,"J"
334,"csp_4_7","Male","01142",FALSE,"AT.1.1","ft4.1","dip1-3",27,"J"
335,"csp_7_8","Male","01142",FALSE,"AT.2.1","ft4.4","dip1-3",77,"P"
336,"csp_7_5","Female","01142",FALSE,"AT.2.1","ft4.4","dip1-4",93,"J"
339,"csp_7_2","Male","01142",FALSE,"AT.2.1","ft1.1","dip1-4",78,"J"
343,"csp_5_2","Female","01142",FALSE,"AT.1.1","ft4.1","dip1-3",55,"P"
344,"csp_4_7","Male","01142",FALSE,"AT.1.2","ft4.3","dip1-6",37,"P"
345,"csp_5_3","Male","01142",FALSE,"AT.1.1","ft1.1","dip3",58,"J"
346,"csp_7_8","Male","01143",FALSE,"AT.2.1","ft4.4","dip2",66,"P"
347,"csp_5_4","Male","01143",FALSE,"AT.1.2","ft4.3","dip1-6",28,"J"
351,"csp_7_5","Male","01143",FALSE,"AT.2.1","ft4.4","dip1-5",72,"P"
352,"csp_3_5","Male","01143",FALSE,"AT.1.2","ft1.1","dip1-4",35,"J"
355,"csp_6_7","Female","01143",FALSE,"AT.1.2","ft4.2","dip1-7",38,"J"
357,"csp_7_5","Female","01143",FALSE,"AT.2.1","ft4.1","dip1-1",70,"P"
358,"csp_5_2","Female","01143",FALSE,"AT.1.1","ft4.1","dip1-5",35,"P"
359,"csp_7_7","Female","01143",FALSE,"AT.2.1","ft1.2","dip1-1",65,"P"
362,"csp_3_4","Male","01145",FALSE,"AT.1.1","ft3.1","dip1-6",54,"P"
371,"csp_4_6","Male","01153",FALSE,"AT.1.1","ft1.1","dip1-6",27,"J"
372,"csp_8_5","Female","01153",FALSE,"AT.2.4","ft4.2","dip2",46,"J"
373,"csp_4_3","Female","01155",FALSE,"AT.1.1","ft4.1","dip1-7",44,"J"
374,"csp_2_1","Male","01156",FALSE,"AT.1.1","ft4.1","dip1-3",45,"J"
375,"csp_7_2","Male","01157",FALSE,"AT.2.1","ft4.4","dip1-3",71,"P"
376,"csp_6_8","Male","01157",FALSE,"AT.1.1","ft4.1","dip1-5",29,"J"
380,"csp_8_6","Female","01158",FALSE,"AT.2.5","ft1.2","dip1-7",63,"J"
384,"csp_5_4","Female","01160",FALSE,"AT.1.2","ft2.0","dip1-4",27,"J"
385,"csp_7_5","Female","01160",FALSE,"AT.2.1","ft4.4","dip1-6",66,"P"
390,"csp_6_3","Male","01160",FALSE,"AT.1.1","ft1.1","dip1-3",48,"P"
394,"csp_7_8","Female","01160",FALSE,"AT.2.1","ft4.4","dip1-3",71,"P"
395,"csp_7_7","Female","01160",FALSE,"AT.2.1","ft1.2","dip1-3",71,"P"
396,"csp_4_2","Male","01160",FALSE,"AT.1.1","ft1.1","dip1-8",32,"P"
397,"csp_4_5","Male","01160",FALSE,"AT.1.1","ft4.1","dip1-5",48,"P"
399,"csp_7_5","Male","01160",FALSE,"AT.2.1","ft4.4","dip1-4",71,"J"
408,"csp_7_2","Female","01166",FALSE,"AT.2.1","ft4.4","dip1-1",90,"J"
412,"csp_7_7","Female","01166",FALSE,"AT.2.1","ft4.4","dip1-1",76,"P"
413,"csp_8_4","Female","01169",TRUE,"AT.2.2","ft4.1","dip1-2",19,"J"
416,"csp_7_8","Female","01173",FALSE,"AT.2.1","ft1.2","dip1-1",84,"P"
418,"csp_7_7","Male","01173",FALSE,"AT.2.1","ft1.1","dip3",81,"P"
421,"csp_7_8","Male","01173",FALSE,"AT.2.1","ft4.4","dip1-1",81,"J"
423,"csp_7_7","Female","01173",FALSE,"AT.2.1","ft4.4","dip2",86,"J"
426,"csp_7_5","Female","01173",FALSE,"AT.2.1","ft1.2","dip1-7",72,"P"
427,"csp_4_7","Male","01173",FALSE,"AT.1.1","ft4.2","dip1-4",63,"P"
429,"csp_5_4","Male","01173",FALSE,"AT.1.1","ft1.1","dip1-8",39,"P"
432,"csp_5_6","Female","01173",TRUE,"AT.1.1","ft4.1","dip1-2",19,"J"
436,"csp_3_7","Female","01173",FALSE,"AT.1.1","ft4.1","dip1-6",57,"J"
437,"csp_6_8","Male","01173",FALSE,"AT.1.1","ft1.1","dip1-3",47,"P"
438,"csp_6_2","Male","01173",FALSE,"AT.1.1","ft4.1","dip1-4",41,"J"
441,"csp_6_2","Male","01175",FALSE,"AT.1.1","ft4.1","dip1-3",82,"J"
444,"csp_6_2","Male","01180",FALSE,"AT.1.1","ft1.1","dip1-3",34,"J"
446,"csp_2_3","Male","01180",FALSE,"AT.1.1","ft4.1","dip1-7",46,"J"
450,"csp_8_4","Female","01185",TRUE,"AT.2.2","ft4.1","dip3",16,"J"
451,"csp_6_8","Male","01185",FALSE,"AT.1.1","ft4.2","dip1-4",26,"J"
452,"csp_8_4","Male","01185",TRUE,"AT.2.2","ft4.1","dip1-2",16,"J"
453,"csp_8_6","Female","01185",FALSE,"AT.2.4","ft4.4","dip2",75,"P"
454,"csp_5_2","Female","01185",FALSE,"AT.1.1","ft4.1","dip1-5",34,"P"
455,"csp_6_9","Male","01185",FALSE,"AT.1.1","ft4.1","dip1-3",52,"J"
456,"csp_4_6","Male","01185",FALSE,"AT.1.1","ft4.1","dip1-4",39,"J"
463,"csp_3_3","Male","01192",FALSE,"AT.1.1","ft1.1","dip1-3",52,"J"
464,"csp_8_4","Male","01192",TRUE,"AT.2.2","ft2.0","dip1-7",19,"J"
465,"csp_4_6","Female","01194",FALSE,"AT.1.1","ft1.2","dip1-2",40,"J"
467,"csp_8_4","Female","01194",TRUE,"AT.2.2","ft4.1","dip1-2",19,"J"
468,"csp_8_6","Female","01194",FALSE,"AT.2.1","ft3.2","dip1",69,"J"
471,"csp_7_2","Male","01194",FALSE,"AT.2.1","ft4.4","dip1-3",88,"J"
478,"csp_6_2","Female","01199",FALSE,"AT.1.1","ft4.1","dip1-4",49,"J"
479,"csp_7_8","Male","01199",FALSE,"AT.2.1","ft1.1","dip1-1",77,"P"
482,"csp_7_8","Male","01199",FALSE,"AT.2.1","ft4.4","dip1-1",70,"J"
483,"csp_7_2","Male","01202",FALSE,"AT.2.1","ft4.4","dip1-2",68,"J"
484,"csp_7_4","Male","01202",FALSE,"AT.2.1","ft4.4","dip1-7",59,"P"
485,"csp_5_6","Male","01202",FALSE,"AT.1.1","ft4.1","dip3",39,"J"
487,"csp_2_1","Male","01202",FALSE,"AT.1.1","ft4.1","dip1-6",40,"P"
491,"csp_7_7","Female","01202",FALSE,"AT.2.1","ft1.2","dip1-4",79,"P"
493,"csp_7_8","Female","01202",FALSE,"AT.2.1","ft1.2","dip3",85,"P"
497,"csp_6_4","Male","01203",FALSE,"AT.1.2","ft4.3","dip1-3",50,"P"
498,"csp_5_6","Female","01203",FALSE,"AT.1.1","ft4.1","dip3",52,"P"
499,"csp_6_2","Male","01207",FALSE,"AT.1.1","ft4.1","dip1-5",39,"J"
500,"csp_7_7","Female","01207",FALSE,"AT.2.1","ft1.2","dip1-1",87,"P"
501,"csp_3_7","Female","01209",FALSE,"AT.1.1","ft4.1","dip1-3",51,"J"
506,"csp_7_2","Female","01213",FALSE,"AT.2.1","ft4.4","dip1-5",68,"P"
507,"csp_5_6","Male","01216",FALSE,"AT.1.1","ft4.1","dip1-6",51,"J"
508,"csp_7_4","Male","01216",FALSE,"AT.2.1","ft1.1","dip1-5",62,"J"
512,"csp_7_7","Female","01224",FALSE,"AT.2.1","ft4.4","dip1-1",86,"J"
513,"csp_7_7","Female","01225",FALSE,"AT.2.1","ft1.2","dip1-1",65,"P"
514,"csp_8_5","Female","01229",FALSE,"AT.2.5","ft4.2","dip1-6",40,"J"
522,"csp_6_7","Male","01232",FALSE,"AT.1.1","ft4.1","dip3",50,"J"
525,"csp_4_5","Female","01235",FALSE,"AT.1.1","ft4.1","dip1-6",42,"J"
526,"csp_7_7","Female","01236",FALSE,"AT.2.1","ft4.4","dip1-1",76,"P"
527,"csp_2_1","Male","01236",FALSE,"AT.1.1","ft4.1","dip3",40,"J"
528,"csp_8_4","Male","01236",TRUE,"AT.2.2","ft3.1","dip1-2",15,"J"
529,"csp_2_1","Male","01237",FALSE,"AT.1.1","ft4.1","dip1-3",45,"J"
530,"csp_3_8","Male","01237",FALSE,"AT.1.1","ft4.1","dip1-8",58,"J"
531,"csp_4_3","Female","01237",FALSE,"AT.1.1","ft4.1","dip1-8",57,"J"
533,"csp_5_4","Female","01238",FALSE,"AT.1.1","ft4.1","dip1-3",64,"P"
535,"csp_3_7","Male","01239",FALSE,"AT.1.1","ft4.2","dip1-4",70,"J"
536,"csp_1_1","Male","01240",FALSE,"AT.1.1","ft4.3","dip1-4",28,"J"
537,"csp_5_2","Female","01241",FALSE,"AT.1.1","ft4.1","dip1-4",40,"P"
538,"csp_7_8","Female","01241",FALSE,"AT.2.1","ft4.4","dip1-1",76,"P"
539,"csp_8_4","Male","01243",TRUE,"AT.2.2","ft4.1","dip1-4",19,"J"
540,"csp_2_2","Female","01243",FALSE,"AT.1.1","ft4.1","dip1-4",56,"J"
543,"csp_4_3","Female","01244",FALSE,"AT.1.1","ft4.1","dip1-7",29,"J"
549,"csp_7_7","Female","01244",FALSE,"AT.2.1","ft1.2","dip2",76,"J"
552,"csp_4_3","Male","01244",FALSE,"AT.1.1","ft4.1","dip1-6",46,"J"
554,"csp_5_6","Female","01244",FALSE,"AT.1.2","ft4.1","dip1-6",25,"J"
556,"csp_4_6","Male","01244",FALSE,"AT.1.2","ft1.1","dip1-4",52,"J"
557,"csp_2_1","Male","01244",FALSE,"AT.1.1","ft4.2","dip1",56,"P"
558,"csp_3_1","Male","01245",FALSE,"AT.1.1","ft4.1","dip1-2",40,"P"
559,"csp_5_5","Female","01245",FALSE,"AT.1.1","ft1.2","dip1-3",58,"P"
560,"csp_3_7","Female","01246",FALSE,"AT.1.1","ft4.1","dip1-8",35,"J"
566,"csp_7_8","Female","01248",FALSE,"AT.2.1","ft4.4","dip1-2",72,"J"
567,"csp_7_7","Male","01249",FALSE,"AT.2.1","ft4.4","dip1-1",89,"P"
568,"csp_7_8","Female","01249",FALSE,"AT.2.1","ft4.3","dip1-1",97,"J"
573,"csp_5_6","Female","01249",FALSE,"AT.1.2","ft2.0","dip1-3",37,"J"
579,"csp_3_5","Male","01250",FALSE,"AT.1.1","ft1.1","dip1-6",44,"J"
581,"csp_8_4","Female","01250",TRUE,"AT.2.2","ft4.2","dip1-2",18,"J"
582,"csp_7_7","Female","01250",FALSE,"AT.2.1","ft1.2","dip1-3",66,"P"
583,"csp_3_7","Male","01254",FALSE,"AT.1.1","ft4.1","dip1-3",51,"J"
585,"csp_3_1","Male","01258",FALSE,"AT.1.1","ft4.1","dip1-8",46,"J"
586,"csp_8_6","Female","01262",FALSE,"AT.2.5","ft2.0","dip2",64,"J"
587,"csp_7_5","Female","01262",FALSE,"AT.2.1","ft2.0","dip1-6",69,"J"
588,"csp_5_6","Male","01262",FALSE,"AT.1.2","ft4.2","dip1-3",21,"P"
589,"csp_3_8","Female","01262",FALSE,"AT.1.1","ft4.3","dip1-8",47,"J"
591,"csp_7_8","Male","01262",FALSE,"AT.2.1","ft4.4","dip1-8",83,"J"
592,"csp_7_8","Female","01262",FALSE,"AT.2.1","ft1.2","dip2",70,"J"
594,"csp_8_6","Female","01263",FALSE,"AT.2.4","ft4.4","dip1-1",62,"P"
595,"csp_4_3","Female","01263",FALSE,"AT.1.1","ft3.2","dip1-6",44,"J"
596,"csp_7_7","Male","01263",FALSE,"AT.2.1","ft4.4","dip1-8",74,"P"
