id,BEFORE_OCCUPATION_42,before_emp_contract,retirement_age
2002,"csp_6_7","emp-1-6",60
2005,"csp_4_6","emp-1-6",62
2007,"csp_4_6","emp-1-6",60
2019,"csp_4_3","emp-1-6",60
2023,"csp_4_3","emp-1-6",60
2036,"csp_4_5","emp-1-6",54
2037,"csp_5_5","emp-1-6",60
2043,"csp_1_1","emp-2-1",60
2044,"csp_6_4","emp-1-6",61
2045,"csp_4_3","emp-2-1",60
2046,"csp_4_6","emp-1-6",62
2055,"csp_4_2","emp-2-1",60
2058,"csp_4_2","emp-1-6",60
2059,"csp_6_2","emp-1-6",60
2064,"csp_5_3","emp-1-5",59
2066,"csp_4_8","emp-1-6",65
2085,"csp_5_2","emp-1-6",60
2088,"csp_4_5","emp-1-6",58
2098,"csp_6_9","emp-1-6",65
2105,"csp_6_4","emp-1-6",60
2108,"csp_5_6","emp-1-6",60
2115,"csp_6_2","emp-1-6",63
2124,"csp_3_4","emp-1-6",66
2126,"csp_1_1","emp-2-1",65
2128,"csp_5_6","emp-1-6",56
2134,"csp_2_2","emp-2-1",60
2143,"csp_4_3","emp-1-6",60
2157,"csp_1_1","emp-2-1",60
2166,"csp_4_3","emp-1-6",65
2170,"csp_5_3","emp-1-6",55
2172,"csp_5_2","emp-1-6",65
2173,"csp_3_7","emp-1-6",60
2182,"csp_5_2","emp-1-6",65
2201,"csp_5_2","emp-1-5",60
2205,"csp_6_7","emp-1-6",60
2207,"csp_5_6","emp-1-5",65
2210,"csp_4_2","emp-1-6",60
2211,"csp_1_3","emp-2-2",60
2214,"csp_5_2","emp-1-6",62
2216,"csp_5_4","emp-1-6",65
2222,"csp_5_4","emp-1-6",62
2223,"csp_3_7","emp-1-6",60
2266,"csp_2_1","emp-2-2",61
2284,"csp_5_6","emp-1-6",63
2294,"csp_2_2","emp-2-1",55
2295,"csp_2_2","emp-2-1",64
2314,"csp_4_6","emp-1-6",65
2319,"csp_6_9","emp-1-6",63
2334,"csp_6_2","emp-1-6",60
2348,"csp_4_6","emp-1-6",60
2360,"csp_6_5","emp-1-6",61
2369,"csp_2_1","emp-2-1",60
2372,"csp_4_7","emp-1-6",63
2384,"csp_5_5","emp-1-6",65
2396,"csp_1_1","emp-2-1",60
2401,"csp_4_5","emp-1-6",60
2402,"csp_6_7","emp-1-6",60
2408,"csp_4_2","emp-1-6",52
2413,"csp_4_6","emp-1-6",65
2428,"csp_5_6","emp-1-6",60
2429,"csp_6_7","emp-1-6",62
2452,"csp_2_1","emp-2-2",65
2454,"csp_5_2","emp-1-6",60
2461,"csp_5_4","emp-1-6",60
2481,"csp_4_2","emp-1-6",60
2482,"csp_5_2","emp-1-6",60
2484,"csp_1_1","emp-2-1",57
2485,"csp_4_5","emp-1-6",65
2486,"csp_6_2","emp-1-6",60
2489,"csp_4_6","emp-1-6",56
2496,"csp_1_1","emp-2-2",65
2498,"csp_6_3","emp-1-6",65
2513,"csp_5_6","emp-1-6",62
2515,"csp_5_2","emp-1-6",60
2528,"csp_6_7","emp-1-6",63
2529,"csp_1_1","emp-2-1",61
2533,"csp_5_6","emp-1-6",60
2540,"csp_6_4","emp-1-5",60
2541,"csp_6_2","emp-1-6",60
2547,"csp_6_5","emp-1-6",65
2548,"csp_6_3","emp-1-6",58
2549,"csp_3_5","emp-1-6",62
2551,"csp_6_5","emp-1-6",64
2568,"csp_2_2","emp-2-1",65
2573,"csp_5_6","emp-1-6",60
2580,"csp_1_1","emp-2-2",63
2583,"csp_5_4","emp-1-6",55
2593,"csp_4_6","emp-1-6",62
2599,"csp_6_8","emp-1-3",60
2601,"csp_6_2","emp-1-6",60
2606,"csp_4_8","emp-1-6",58
2609,"csp_5_6","emp-1-6",53
2619,"csp_5_4","emp-1-6",59
2630,"csp_5_5","emp-1-6",60
2632,"csp_3_7","emp-1-6",63
2640,"csp_3_7","emp-1-6",60
2654,"csp_2_1","emp-2-2",65
2656,"csp_6_3","emp-1-6",63
2668,"csp_5_6","emp-1-6",51
2670,"csp_5_5","emp-1-6",64
2682,"csp_1_3","emp-2-2",59
2683,"csp_5_4","emp-1-6",65
2685,"csp_4_2","emp-1-6",65
2688,"csp_5_4","emp-1-6",65
2700,"csp_5_5","emp-1-6",60
2704,"csp_4_6","emp-1-6",60
2707,"csp_4_5","emp-1-6",60
2710,"csp_3_4","emp-1-5",60
2715,"csp_4_5","emp-1-6",65
2727,"csp_6_7","emp-1-6",62
2731,"csp_3_8","emp-1-6",60
2748,"csp_6_2","emp-1-6",61
2751,"csp_4_2","emp-1-6",62
2752,"csp_5_3","emp-1-6",64
2762,"csp_5_4","emp-1-6",65
2764,"csp_6_8","emp-1-6",64
2765,"csp_2_2","emp-2-2",55
2768,"csp_3_8","emp-1-6",63
2770,"csp_4_5","emp-1-6",64
2772,"csp_5_4","emp-1-6",60
2774,"csp_6_3","emp-1-6",59
2776,"csp_2_1","emp-2-1",56
2780,"csp_5_4","emp-1-6",60
2785,"csp_3_3","emp-1-6",60
2800,"csp_1_3","emp-2-2",61
2801,"csp_5_2","emp-1-6",60
2807,"csp_6_3","emp-1-6",60
2814,"csp_5_2","emp-1-6",60
2828,"csp_4_6","emp-1-6",60
2847,"csp_5_4","emp-1-6",65
2857,"csp_6_5","emp-1-6",60
2858,"csp_4_3","emp-1-6",60
2864,"csp_6_3","emp-1-6",60
2869,"csp_4_7","emp-1-6",55
2878,"csp_4_5","emp-1-6",60
2881,"csp_6_7","emp-1-6",60
2882,"csp_1_1","emp-2-1",62
2891,"csp_5_6","emp-1-5",60
2893,"csp_2_1","emp-2-2",60
2894,"csp_4_5","emp-1-6",60
2900,"csp_5_6","emp-1-6",60
2904,"csp_1_1","emp-2-1",60
2905,"csp_2_2","emp-2-2",61
2910,"csp_6_7","emp-1-6",61
2918,"csp_4_6","emp-1-6",60
2919,"csp_5_2","emp-1-6",60
2922,"csp_5_4","emp-1-6",60
2930,"csp_3_4","emp-1-6",60
2932,"csp_3_1","emp-2-2",60
2946,"csp_4_3","emp-1-6",60
2967,"csp_5_4","emp-1-6",59
2971,"csp_5_6","emp-1-6",60
2975,"csp_5_2","emp-1-6",65
2979,"csp_5_2","emp-1-5",60
3000,"csp_5_4","emp-1-6",60
3003,"csp_4_2","emp-1-6",57
3009,"csp_5_6","emp-1-6",60
3015,"csp_3_4","emp-1-6",60
3022,"csp_6_8","emp-1-6",65
3026,"csp_5_2","emp-1-6",59
3032,"csp_4_3","emp-2-1",62
3033,"csp_6_7","emp-1-6",64
3039,"csp_5_2","emp-1-6",62
3043,"csp_6_4","emp-1-6",59
3044,"csp_4_8","emp-1-6",64
3046,"csp_5_2","emp-1-6",60
3049,"csp_3_4","emp-1-6",61
3050,"csp_4_2","emp-1-6",62
3052,"csp_5_5","emp-1-6",65
3053,"csp_5_6","emp-1-5",65
3071,"csp_5_4","emp-1-6",55
3077,"csp_5_5","emp-1-6",60
3083,"csp_5_4","emp-1-6",65
3107,"csp_5_6","emp-1-5",64
3109,"csp_4_8","emp-1-6",60
3129,"csp_4_2","emp-1-6",56
3134,"csp_5_4","emp-1-6",60
3135,"csp_4_3","emp-1-6",57
3136,"csp_5_4","emp-1-6",60
3140,"csp_4_6","emp-1-6",60
3141,"csp_4_6","emp-1-6",60
3145,"csp_4_3","emp-2-1",60
3147,"csp_3_3","emp-1-6",55
3156,"csp_4_3","emp-1-6",60
3161,"csp_6_3","emp-1-6",60
3162,"csp_5_4","emp-1-6",60
3173,"csp_3_3","emp-1-6",65
3174,"csp_5_2","emp-1-6",55
3178,"csp_5_6","emp-1-6",65
3182,"csp_2_1","emp-2-1",62
3183,"csp_1_1","emp-2-1",60
3184,"csp_4_6","emp-1-6",59
3188,"csp_4_3","emp-1-6",60
3201,"csp_5_5","emp-1-6",60
3205,"csp_6_5","emp-1-6",60
3208,"csp_2_2","emp-2-1",60
3210,"csp_5_2","emp-1-6",65
3212,"csp_4_2","emp-1-6",60
3224,"csp_5_2","emp-1-6",60
3225,"csp_5_6","emp-1-6",60
3238,"csp_5_2","emp-1-6",59
3240,"csp_5_6","emp-1-6",60
3242,"csp_2_2","emp-2-2",60
3246,"csp_5_6","emp-1-6",65
3250,"csp_2_2","emp-2-2",63
3252,"csp_5_4","emp-1-6",62
3257,"csp_5_2","emp-1-6",60
3264,"csp_6_4","emp-1-6",60
3274,"csp_3_5","emp-2-2",60
3285,"csp_3_1","emp-2-2",56
3296,"csp_5_2","emp-1-6",59
3302,"csp_5_4","emp-1-6",65
3303,"csp_3_3","emp-1-6",60
3305,"csp_5_2","emp-1-6",60
3308,"csp_5_2","emp-1-6",65
3311,"csp_5_5","emp-1-6",60
3315,"csp_5_5","emp-1-6",63
3320,"csp_4_5","emp-1-6",58
3321,"csp_2_2","emp-2-1",60
3322,"csp_5_2","emp-1-5",56
3332,"csp_2_1","emp-2-2",60
3333,"csp_5_6","emp-1-6",67
3335,"csp_4_5","emp-1-6",60
3336,"csp_5_4","emp-1-6",65
3340,"csp_5_6","emp-1-5",58
3346,"csp_5_6","emp-1-6",54
3347,"csp_4_2","emp-1-6",61
3359,"csp_4_3","emp-1-6",57
3366,"csp_5_4","emp-1-6",60
3378,"csp_6_7","emp-1-2",60
3383,"csp_4_8","emp-1-6",60
3402,"csp_5_2","emp-1-6",63
3404,"csp_3_7","emp-1-6",59
3405,"csp_6_7","emp-1-6",60
3416,"csp_5_2","emp-1-6",65
3420,"csp_4_7","emp-1-6",65
3422,"csp_5_6","emp-1-6",65
3431,"csp_2_2","emp-2-1",60
3432,"csp_5_4","emp-1-6",65
3444,"csp_3_8","emp-1-6",60
3449,"csp_5_4","emp-1-6",60
3453,"csp_5_5","emp-1-6",60
3480,"csp_5_5","emp-1-6",65
3488,"csp_5_4","emp-1-6",65
3489,"csp_4_8","emp-1-6",59
3490,"csp_2_2","emp-2-1",60
3492,"csp_5_6","emp-1-6",60
3499,"csp_4_3","emp-1-6",65
3511,"csp_4_7","emp-1-6",60
3532,"csp_6_4","emp-1-6",60
3538,"csp_2_3","emp-2-2",60
3540,"csp_5_4","emp-1-6",55
3548,"csp_6_7","emp-1-5",60
3554,"csp_3_8","emp-1-6",64
3560,"csp_5_2","emp-1-6",63
3564,"csp_3_7","emp-1-6",56
3565,"csp_5_6","emp-1-6",61
3602,"csp_2_1","emp-2-1",63
3612,"csp_5_2","emp-1-6",60
3613,"csp_4_6","emp-1-6",60
3623,"csp_6_2","emp-1-6",60
3632,"csp_5_2","emp-1-6",60
3640,"csp_3_7","emp-1-6",57
3644,"csp_4_5","emp-1-6",65
3673,"csp_5_6","emp-1-6",60
3674,"csp_6_4","emp-1-6",60
3676,"csp_5_2","emp-1-6",65
3687,"csp_5_3","emp-1-6",64
3697,"csp_5_2","emp-1-6",61
3698,"csp_4_6","emp-1-6",61
3704,"csp_4_3","emp-2-1",60
3706,"csp_5_2","emp-1-6",56
3712,"csp_5_2","emp-1-6",60
3726,"csp_4_8","emp-1-6",65
3727,"csp_3_8","emp-1-6",65
3728,"csp_5_2","emp-1-5",60
3732,"csp_5_3","emp-1-6",60
3739,"csp_6_3","emp-1-6",60
3742,"csp_2_2","emp-2-2",60
3747,"csp_5_4","emp-1-6",60
3758,"csp_3_4","emp-1-6",65
3769,"csp_6_3","emp-1-6",58
3773,"csp_6_2","emp-1-6",65
3774,"csp_5_2","emp-1-5",60
3777,"csp_2_1","emp-2-3",60
3780,"csp_4_6","emp-1-6",60
3784,"csp_4_3","emp-1-6",60
3788,"csp_5_6","emp-1-6",60
3793,"csp_4_6","emp-1-5",60
3796,"csp_2_1","emp-2-2",60
3798,"csp_4_8","emp-1-6",60
3799,"csp_6_7","emp-1-6",62
3800,"csp_5_4","emp-1-6",62
3815,"csp_4_8","emp-1-6",60
3831,"csp_6_3","emp-1-6",62
3833,"csp_2_1","emp-2-2",60
3836,"csp_4_7","emp-1-6",55
3839,"csp_5_2","emp-1-6",66
3843,"csp_6_9","emp-1-6",60
3848,"csp_6_7","emp-1-6",59
3852,"csp_3_3","emp-1-6",65
3860,"csp_5_2","emp-1-6",54
3861,"csp_3_7","emp-1-6",57
3870,"csp_3_1","emp-2-1",60
3874,"csp_6_5","emp-1-6",60
3890,"csp_2_1","emp-2-2",52
3898,"csp_5_6","emp-1-6",64
3902,"csp_5_2","emp-1-6",56
3905,"csp_5_6","emp-1-5",58
3911,"csp_5_2","emp-1-6",60
3913,"csp_6_4","emp-1-6",60
3917,"csp_5_6","emp-1-6",57
3921,"csp_3_8","emp-1-6",62
3932,"csp_6_5","emp-1-6",62
3933,"csp_4_3","emp-1-6",63
3937,"csp_5_4","emp-1-5",60
3938,"csp_2_1","emp-2-2",60
3945,"csp_6_2","emp-1-6",65
3952,"csp_3_7","emp-1-6",64
3956,"csp_5_2","emp-1-6",65
3959,"csp_2_3","emp-2-2",60
3964,"csp_5_4","emp-1-6",60
3968,"csp_5_2","emp-1-6",65
3972,"csp_5_2","emp-1-6",59
3973,"csp_2_2","emp-2-1",65
3976,"csp_3_1","emp-2-1",60
3978,"csp_4_5","emp-1-6",60
3988,"csp_3_7","emp-1-6",60
3990,"csp_4_6","emp-1-6",60
3991,"csp_5_5","emp-1-6",62
3998,"csp_6_2","emp-1-6",60
4007,"csp_5_6","emp-1-6",58
4026,"csp_4_3","emp-1-6",65
4027,"csp_2_2","emp-2-1",60
4032,"csp_5_4","emp-1-6",60
4034,"csp_5_5","emp-1-6",60
4048,"csp_6_4","emp-1-6",60
4055,"csp_4_6","emp-1-5",61
4063,"csp_5_2","emp-1-6",60
4076,"csp_5_2","emp-1-6",55
4082,"csp_2_2","emp-2-1",60
4096,"csp_3_1","emp-2-1",64
4103,"csp_3_8","emp-1-6",55
4115,"csp_1_1","emp-2-1",60
4120,"csp_3_5","emp-1-6",60
4126,"csp_4_3","emp-1-6",58
4137,"csp_3_1","emp-2-2",63
4142,"csp_3_1","emp-2-2",66
4144,"csp_2_1","emp-2-1",60
4147,"csp_6_3","emp-1-6",60
4148,"csp_6_2","emp-1-6",64
4152,"csp_6_2","emp-1-6",60
4155,"csp_5_2","emp-1-6",62
4161,"csp_5_6","emp-1-5",56
4173,"csp_5_6","emp-1-6",60
4174,"csp_5_4","emp-1-6",60
4177,"csp_2_3","emp-2-2",60
4190,"csp_4_3","emp-1-6",59
4194,"csp_6_8","emp-1-5",60
4198,"csp_2_2","emp-2-2",60
4201,"csp_4_6","emp-1-6",65
4203,"csp_5_2","emp-1-6",65
4215,"csp_6_3","emp-1-6",56
4218,"csp_2_1","emp-2-1",60
4220,"csp_5_2","emp-1-6",60
4228,"csp_6_8","emp-1-6",58
4236,"csp_5_2","emp-1-6",62
4242,"csp_4_8","emp-1-6",60
4248,"csp_4_6","emp-1-6",60
4249,"csp_4_6","emp-1-6",59
4251,"csp_2_2","emp-2-2",60
4269,"csp_3_3","emp-1-6",56
4279,"csp_4_6","emp-1-6",61
4295,"csp_5_5","emp-1-6",57
4301,"csp_6_8","emp-1-6",60
4305,"csp_5_4","emp-1-6",58
4327,"csp_3_1","emp-2-1",60
4333,"csp_4_6","emp-1-6",60
4338,"csp_4_3","emp-1-5",60
4341,"csp_3_4","emp-1-6",63
4349,"csp_5_4","emp-1-6",64
4350,"csp_4_5","emp-1-6",60
4353,"csp_5_2","emp-1-6",60
4366,"csp_2_2","emp-2-2",60
4368,"csp_1_1","emp-2-1",57
4371,"csp_6_3","emp-1-6",60
4372,"csp_5_2","emp-1-6",60
4374,"csp_2_1","emp-2-1",60
4378,"csp_3_3","emp-1-6",56
4382,"csp_6_4","emp-1-6",60
4388,"csp_5_4","emp-1-6",60
4395,"csp_4_3","emp-2-1",60
4397,"csp_5_4","emp-1-6",60
4399,"csp_5_2","emp-1-6",63
4402,"csp_3_4","emp-1-6",65
4413,"csp_6_8","emp-1-6",60
4415,"csp_6_4","emp-1-6",57
4416,"csp_6_5","emp-1-6",60
4418,"csp_5_2","emp-1-6",58
4420,"csp_2_1","emp-2-2",62
4424,"csp_4_6","emp-1-6",60
4441,"csp_3_7","emp-1-6",62
4442,"csp_4_6","emp-1-6",63
4450,"csp_5_5","emp-1-6",60
4461,"csp_5_6","emp-1-6",60
4464,"csp_5_2","emp-1-6",60
4466,"csp_3_1","emp-1-6",65
4467,"csp_4_8","emp-1-6",62
4469,"csp_2_1","emp-2-2",63
4470,"csp_3_5","emp-1-5",60
4486,"csp_5_2","emp-1-6",60
4491,"csp_2_1","emp-2-1",64
4492,"csp_5_2","emp-1-5",60
4508,"csp_5_4","emp-1-6",65
4510,"csp_4_8","emp-1-6",60
4511,"csp_5_5","emp-1-6",58
4519,"csp_4_8","emp-1-6",60
4528,"csp_4_7","emp-1-5",61
4532,"csp_6_3","emp-1-6",58
4542,"csp_4_2","emp-1-6",60
4555,"csp_5_4","emp-1-6",60
4565,"csp_5_2","emp-1-6",61
4579,"csp_5_5","emp-1-6",60
4590,"csp_4_3","emp-1-6",58
4594,"csp_4_6","emp-1-6",55
4595,"csp_5_5","emp-1-6",60
4600,"csp_3_4","emp-1-6",55
4611,"csp_5_2","emp-1-6",56
4613,"csp_6_3","emp-1-6",65
4622,"csp_5_2","emp-1-6",57
4635,"csp_1_3","emp-2-2",65
4643,"csp_4_3","emp-1-6",65
4646,"csp_6_7","emp-1-6",59
4660,"csp_3_7","emp-1-6",60
4683,"csp_5_2","emp-1-5",60
4684,"csp_4_3","emp-1-6",60
4697,"csp_5_2","emp-1-6",58
