id,ECO_SECT,Before_dep,job_dep,Job_desc,type_of_contract,Labor_force_status,WORK_CONDITION,employer_type,Working_hours,EMPLOYEE_COUNT
882,"GZ","13","13","676c","CDI","O","C","ct_9",1596,"tr_5"
889,"MA","92","75","541c","CDI","O","C","ct_9",757,"tr_5"
906,"PZ","18","18","422b","CDI","O","C","ct_8",1820,"tr_2"
918,"KZ","13","13","526a","CDI","O","C","ct_8",1813,"tr_2"
920,"SZ","93","75","451h","CDI","O","C","ct_3",1365,"tr_6"
923,"HZ","86","86","451a","CDI","O","P","ct_9",1274,"tr_3"
927,"QA","62","62","526e","CDI","O","C","ct_9",502,"tr_4"
932,"TZ","94","94","563a","AUT","O","C",NA,532,NA
935,"GZ","49","49","543f","CDI","O","C","ct_9",2033,"tr_2"
943,"IZ","67","67","561c","CDI","O","P","ct_6",546,"tr_1"
954,"CA",NA,NA,"674c","CDI","O","C","ct_9",1820,"tr_2"
962,"GZ","25","25","554a","CDI","O","P","ct_9",1214,"tr_6"
980,"NZ","38","38","676c","CDI","O","C","ct_9",1915,"tr_4"
989,"IZ","92","92","636d","CDI","O","C","ct_9",628,"tr_1"
997,"CJ","18","18","622e","CDI","O","C","ct_9",1979,"tr_5"
1011,"CG","45","45","674a","CDI","O","C","ct_9",1749,"tr_6"
1014,"FZ","71","21","632g","CDI","O","C","ct_9",555,"tr_1"
1024,"CA","77","10","653a","CDI","O","C","ct_9",1820,"tr_6"
1026,"QA","70","70","525d","CDI","O","C","ct_8",1831,"tr_5"
1035,"FZ","71","71","632a","CDI","O","C","ct_6",1762,"tr_1"
1041,"TZ","38","38","563c","CDI","O","C",NA,396,NA
1047,"HZ","02","60","652a","CDI","O","C","ct_9",1820,"tr_6"
1055,"GZ","37","37","554a","CDI","O","P","ct_6",1456,"tr_1"
1064,"FZ","74","74","684a","AUT","O","P",NA,192,NA
1065,"GZ","37","37","641a","CDI","O","P","ct_9",861,"tr_1"
1066,"MB","06","30","451e","CDI","O","C","ct_1",1820,"tr_6"
1079,"OZ","92","92","333f","CDI","O","C","ct_2",1767,"tr_6"
1081,"GZ","94","91","388b","CDI","O","C","ct_9",1820,"tr_5"
1111,"NZ","85","85","676c","CDI","O","C","ct_9",1730,"tr_5"
1113,"OZ","94","94","333e","CDI","O","C","ct_1",1516,"tr_6"
1184,"HZ","37","37","643a","CDI","O","C","ct_9",1961,"tr_2"
1190,"CL","01","01","624c","CDI","O","C","ct_9",1923,"tr_6"
1195,"CB","72","72","627c","CDI","O","C","ct_9",300,"tr_5"
1223,"FZ",NA,NA,"681b","CDI","O","C","ct_9",1442,"tr_0"
1227,"OZ","54","54","621f","AUT","O","C","ct_2",1825,"tr_4"
1229,"OZ","17","17","467d","CDI","O","C","ct_8",1836,"tr_4"
1238,"QB","89","89","525d","CDI","O","C","ct_8",1820,"tr_3"
1271,"NZ","75","75","684a","CDI","O","P","ct_9",1965,"tr_6"
1279,"HZ","44","44","333c","CDI","O","C","ct_9",1823,"tr_6"
1292,"QA","49","49","632k","AUT","O","C","ct_3",1824,"tr_6"
1300,"TZ","47","47","563c","CDI","O","C",NA,1216,NA
1328,"QB","94","94","525d","CDI","O","P","ct_8",1962,"tr_4"
1331,"NZ","62","59","684a","CDI","O","P","ct_9",1024,"tr_6"
1334,"AZ","33","51","691d","CDI","O","C",NA,144,NA
1342,"OZ","57","57","543g","CDI","O","C","ct_8",1138,"tr_4"
1345,"PZ","72","72","525a","CDI","O","P","ct_8",1328,"tr_1"
1351,"HZ","78","78","451a","CDI","O","C","ct_9",1822,"tr_3"
1361,"NZ","64","64","684a","CDI","O","C","ct_9",1871,"tr_3"
1365,"CJ","33","33","473b","CDI","O","C","ct_9",1806,"tr_3"
1369,"CG","13","13","625b","CDI","O","C","ct_9",1804,"tr_6"
1370,"MA","11","11","543c","CDI","O","C","ct_9",1486,"tr_2"
1375,"KZ","62","59","461b","CDI","O","P","ct_9",1274,"tr_1"
1390,"JC",NA,NA,"388c","CDI","O","C","ct_9",1820,"tr_3"
1421,"PZ","19","19","525b","CDI","O","C",NA,373,NA
1422,"TZ","64","64","563c","AUT","O","P",NA,146,NA
1431,"OZ",NA,NA,"621f","AUT","O","C","ct_2",1820,"tr_5"
1439,"PZ","85","85","525b","CDI","O","P","ct_8",1362,"tr_2"
1441,"TZ","80","80","563c","CDI","O","C",NA,549,NA
1444,"KZ","75","75","372a","CDI","O","C","ct_8",1821,"tr_0"
1469,"QB","84","84","542a","AUT","X","P","ct_8",1504,"tr_2"
1475,"QB","89","89","525d","CDI","O","C","ct_3",1820,"tr_4"
1513,"JC","87","87","463d","CDI","O","C","ct_9",1842,"tr_1"
1539,"NZ","94","75","675c","TTP","O","N","ct_9",634,"tr_1"
1545,"KZ","57","57","467a","CDI","O","P","ct_9",1349,"tr_1"
1549,"CJ","53","53","674d","CDI","O","C","ct_9",1373,"tr_6"
1560,"OZ",NA,NA,"524c","AUT","X","C","ct_2",1497,"tr_6"
1567,"JA","83","83","477c","CDI","O","C","ct_9",1515,"tr_3"
1571,"QB","14","14","525d","CDI","O","C","ct_9",1782,"tr_4"
1603,"DZ","13","13","477c","CDI","O","C","ct_9",1616,"tr_1"
1605,"CI","74","74","676c","CDI","O","C","ct_9",1584,"tr_2"
1610,"SZ","93","93","562b","CDI","O","P","ct_9",642,"tr_1"
1612,"NZ","17","17","542a","CDI","O","C",NA,144,"tr_1"
1616,"QB","33","33","563a","CDI","O","N","ct_7",3000,"tr_1"
1619,"FZ","44","44","641a","CDI","O","C","ct_9",1517,"tr_1"
1625,"OZ","67","67","333f","CDI","O","C","ct_2",1857,"tr_6"
1642,"NZ","74","74","684a","CDI","O","P",NA,271,"tr_1"
1647,"IZ","37","37","561f","CDI","O","C","ct_9",1009,"tr_0"
1653,"SZ","47","47","691e","CDI","O","C",NA,426,NA
1654,"QB","30","30","563b","AUT","O","C","ct_2",1820,"tr_4"
1671,"GZ","50","50","651a","CDI","O","C","ct_9",1624,"tr_3"
1679,"HZ","10","10","451a","CDI","O","C","ct_9",912,"tr_3"
1691,"QB","43","43","526a","CDI","O","P","ct_8",910,"tr_5"
1692,"OZ","17","17","467d","CDI","O","C","ct_8",1820,"tr_6"
1699,"PZ","39","25","341a","CDI","O","P","ct_8",833,"tr_4"
1700,"QB","81","81","525d","CDI","O","C","ct_8",1827,"tr_4"
1701,"KZ","19","19","542a","CDI","O","C","ct_9",1304,"tr_1"
1703,"QB","60","60","676e","CDI","O","C","ct_8",1153,"tr_3"
1705,"QB","54","54","525d","CDI","O","C","ct_8",1062,"tr_3"
1706,"GZ","13","13","676c","CDI","O","C","ct_9",2111,"tr_6"
1716,"HZ","54","54","642a","CDI","O","P","ct_6",529,"tr_1"
1717,"QB","82","82","344b","CDI","O","P","ct_8",637,"tr_3"
1738,"CA","33","24","543f","CDI","O","C","ct_9",1688,"tr_5"
1740,"MA","75","75","461b","CDI","O","C","ct_9",1820,"tr_1"
1758,"GZ","27","27","552a","CDI","O","P","ct_9",1880,"tr_3"
1767,"GZ","29","29","554c","CDI","O","C","ct_9",1644,"tr_2"
1782,"LZ","42","42","373b","CDI","O","C","ct_5",1820,"tr_5"
1792,"CA","59","59","674c","CDI","O","C","ct_9",1794,"tr_5"
1811,"MB","69","69","344b","CDI","O","P","ct_5",1725,"tr_6"
1828,"QB","06","06","526d","CDI","O","C","ct_8",1713,"tr_5"
1832,"CA","82","82","625a","CDI","O","C","ct_9",608,"tr_5"
1850,"MA","73","73","461c","CDI","O","C","ct_6",1203,"tr_0"
1853,"HZ","91","91","521a","CDI","O","C","ct_9",1827,"tr_5"
1854,"QB","31","31","563a","CDI","O","N","ct_7",3000,"tr_1"
1874,"OZ","2A","2A","524c","CDI","O","C",NA,220,NA
1876,"NZ","31","31","525d","CDI","O","P","ct_9",897,"tr_6"
1880,"FZ","71","42","632a","CDI","O","C","ct_9",1714,"tr_3"
1888,"NZ","16","16","691e","CDI","O","C","ct_8",2200,"tr_1"
1890,"HZ","49","37","653a","CDI","O","C","ct_9",1888,"tr_6"
1893,"FZ","54","54","632e","CDI","O","C","ct_9",1750,"tr_3"
1899,"CM","26","42","676c","CDI","O","P","ct_9",1029,"tr_3"
1906,"PZ","27","27","525b","CDI","O","C","ct_8",1820,"tr_4"
1939,"MA","29","29","461d","CDI","O","C","ct_9",1771,"tr_5"
1954,"CA","02","60","636c","CDI","O","C","ct_9",1930,"tr_2"
1957,"PZ","57","57","421b","AUT","O","C","ct_2",1820,"tr_2"
1992,"OZ","45","45","333e","CDI","O","C","ct_1",1814,"tr_5"
2000,"IZ","40","40","561d","CDI","O","C","ct_9",600,"tr_2"
2001,"CB","76","76","675a","CDI","O","C","ct_9",1656,"tr_6"
2002,"CA","24","24","676c","CDI","O","C",NA,161,NA
2005,"GZ","80","80","462b","CDI","O","C","ct_9",1887,"tr_3"
2007,"FZ","77","93","461c","CDI","O","P","ct_9",1524,"tr_1"
2019,"QB","13","13","435a","CDI","O","C","ct_8",1820,"tr_3"
2023,"QB","91","91","434d","CDI","O","C","ct_8",1780,"tr_3"
2036,"MB","51","57","451e","CDI","O","C","ct_1",1820,"tr_5"
2037,"GZ","35","92","554f","CDI","O","P","ct_9",1918,"tr_6"
2044,"GZ","62",NA,"641a","CDI","O","C","ct_9",1617,"tr_1"
2046,"OZ","75","75","461f","CDI","O","C","ct_8",1520,"tr_5"
2058,"PZ","44","44","422c","CDI","O","P","ct_8",463,"tr_3"
2059,"FZ",NA,NA,"621b","CDI","O","C","ct_9",1669,"tr_3"
2064,"OZ","83","83","531c","AUT","O","C","ct_1",1820,"tr_6"
2066,"IZ","93","94","488b","CDI","O","C","ct_9",1887,"tr_1"
2085,"QB",NA,NA,"526d","CDI","O","C","ct_8",1471,"tr_4"
2088,"HZ","80","80","451a","CDI","O","C","ct_9",1878,"tr_6"
2098,"AZ","33","33","691d","CDI","O","C",NA,156,NA
2105,"CA","19","19","641a","CDI","O","C","ct_9",1950,"tr_3"
2108,"TZ","44","44","563a","CDI","O","P",NA,519,NA
2115,"CK","69","69","624b","CDI","O","C","ct_9",1725,"tr_5"
2124,"QA","67","67","344a","CDI","O","P","ct_3",910,"tr_6"
2128,"TZ",NA,NA,"563c","CDI","O","N","ct_7",1189,"tr_1"
2143,"QB","44","44","431f","CDI","O","P","ct_8",1483,"tr_4"
2166,"QA","84","84","431f","CDI","O","P","ct_9",769,"tr_5"
2170,"NZ","95","75","534a","CDI","O","C","ct_9",1341,"tr_6"
2172,"OZ","02","02","524c","CDI","O","C",NA,319,NA
2173,"QB","16","16","373d","CDI","O","C","ct_8",1556,"tr_4"
2182,"KZ","55","55","526b","CDI","O","C","ct_9",1248,"tr_1"
2201,"OZ","67","67","523b","AUT","O","C","ct_1",2028,"tr_2"
2205,"CH","49","49","676e","CDI","O","C","ct_9",1466,"tr_2"
2207,"QB","74","74","563b","AUT","O","C","ct_2",600,"tr_4"
2210,"PZ","44","44","422e","CDI","O","P","ct_2",1128,"tr_2"
2214,"PZ","14","14","525b","CDI","O","P","ct_8",1456,"tr_1"
2216,"RZ","92","92","543h","CDI","O","C","ct_8",1409,"tr_5"
2222,"KZ","44","44","545c","CDI","O","C","ct_9",1558,"tr_3"
2223,"OZ","79","79","376f","CDI","O","C","ct_8",1884,"tr_6"
2284,"IZ","33","33","561d","CDI","O","P","ct_9",256,"tr_2"
2314,"SZ","13","13","461e","CDI","O","P","ct_8",489,"tr_1"
2319,"GZ","89","89","691e","CDI","O","P","ct_9",520,"tr_2"
2334,"CC","08","08","627d","CDI","O","C","ct_9",473,"tr_3"
2348,"OZ",NA,NA,"467d","CDI","O","C","ct_8",1743,"tr_6"
2360,"CH","31","31","653a","CDI","O","C","ct_9",447,"tr_4"
2372,"CM","38","38","479b","CDI","O","C","ct_9",1365,"tr_5"
2384,"GZ","63","63","551a","CDI","O","C","ct_9",1799,"tr_5"
2401,"QA","02","02","451h","CDI","O","C","ct_8",1522,"tr_6"
2402,"FZ","45","75","676a","CDI","O","C","ct_9",523,"tr_3"
2408,"PZ","78","78","422a","CDI","O","P","ct_8",888,"tr_2"
2413,"GZ","13","13","461c","CDI","O","C","ct_9",2028,"tr_1"
2428,"QB","17","17","563b","CDI","O","P","ct_8",755,"tr_3"
2429,"CL","67","67","673a","CDI","O","C","ct_9",1774,"tr_6"
2454,"HZ","91","77","521a","CDI","O","C","ct_9",1832,"tr_5"
2461,"KZ","31","31","545c","CDI","O","C","ct_8",1820,"tr_6"
2481,"PZ","40","40","421b","CDI","O","C","ct_8",1820,"tr_3"
2482,"QA","42","42","526a","CDI","O","C","ct_9",1792,"tr_5"
2485,"OZ","57","57","451g","CDI","O","C",NA,288,NA
2486,"QB","01","01","628g","CDI","O","C",NA,152,NA
2489,"HZ","01","01","466c","CDI","O","C","ct_9",1820,"tr_5"
2498,"CM","93","93","635a","CDI","O","P","ct_9",663,"tr_1"
2513,"QB","33","33","563b","CDI","O","C",NA,181,NA
2515,"QB","12","12","526a","CDI","O","P","ct_8",1362,"tr_4"
2528,"MA","73","38","673c","CDI","O","P","ct_9",713,"tr_1"
2533,"QB","50","50","563b","CDI","O","P","ct_8",1452,"tr_5"
2540,"NZ","84","84","641a","TTP","O","C","ct_9",838,"tr_1"
2541,"FZ","93","77","621b","CDI","O","C","ct_9",360,"tr_2"
2547,"HZ","95","93","651b","CDI","O","C","ct_9",710,"tr_5"
2548,"FZ","75","92","632g","CDI","O","C","ct_9",1350,"tr_0"
2549,"RZ","94","75","353b","CDI","O","C","ct_8",1820,"tr_3"
2551,"HZ","65","65","655a","CDI","O","C","ct_9",684,"tr_5"
2573,"NZ","34","34","564a","CDI","O","P","ct_8",1420,"tr_1"
2583,"HZ","62","59","543b","CDI","O","C","ct_9",1638,"tr_3"
2593,"KZ","95","95","467a","CDI","O","C","ct_5",760,"tr_3"
2599,"SZ","63","63","685a","AUT","X","P","ct_8",1116,"tr_4"
2601,"FZ","80","80","621d","CDI","O","C","ct_9",1610,"tr_4"
2606,"CA","79","79","484a","CDI","O","C","ct_9",1820,"tr_3"
2609,"TZ","37","37","563c","CDI","O","C",NA,764,NA
2619,"KZ","93","75","545c","CDI","O","C","ct_8",1777,"tr_5"
2630,"GZ","75","75","553b","CDI","O","C","ct_9",1272,"tr_6"
2632,"MB","92","75","371a","CDI","O","C","ct_5",1820,"tr_5"
2640,"OZ","49","44","375b","CDI","O","C","ct_1",1820,"tr_5"
2656,"FZ",NA,NA,"632a","CDI","O","C","ct_9",1749,"tr_3"
2668,"TZ","41","41","563c","CDI","O","C",NA,1190,NA
2670,"GZ","33","33","552a","CDI","O","P","ct_9",1490,"tr_4"
2683,"KZ","57","57","543g","CDI","O","P","ct_9",756,"tr_1"
2685,"PZ","75","94","421b","CDI","O","C","ct_8",1272,"tr_2"
2688,"QB","30","30","543h","CDI","O","C","ct_8",910,"tr_3"
2700,"GZ","60","60","551a","CDI","O","C","ct_9",1439,"tr_1"
2704,"KZ","69","69","467b","CDI","O","P","ct_9",1516,"tr_5"
2707,"HZ","24","24","451a","CDI","O","C","ct_9",1820,"tr_2"
2710,"PZ","23","23","341b","AUT","O","C","ct_1",1936,"tr_4"
2715,"OZ","93","93","451g","CDI","O","C","ct_2",1820,"tr_6"
2727,"CH","93","93","675a","CDI","O","C","ct_9",1301,"tr_2"
2731,"GZ","13","13","387b","CDI","O","C","ct_9",1472,"tr_5"
2748,"CI","28","27","628g","CDI","O","P","ct_9",1345,"tr_4"
2751,"HZ","45","45","423b","CDI","O","C","ct_9",1645,"tr_6"
2752,"NZ","31","31","534a","CDI","O","C","ct_9",1820,"tr_6"
2762,"JA","75","75","543b","CDI","O","P","ct_9",1821,"tr_0"
2764,"NZ","93","75","684a","CDI","O","C","ct_9",1813,"tr_6"
2768,"CB","94","93","386e","CDI","O","C","ct_9",1980,"tr_4"
2770,"HZ","2A","2A","451a","CDI","O","C","ct_9",1822,"tr_5"
2772,"QB","89","89","542a","CDI","O","C","ct_8",1820,"tr_3"
2774,"CA","93","93","636c","CDI","O","C","ct_9",1689,"tr_1"
2780,"MB","31","31","542a","CDI","O","C","ct_5",1820,"tr_6"
2785,"HZ","75","75","333c","CDI","O","C","ct_9",1820,"tr_6"
2801,"QA","93","77","526e","CDI","O","C","ct_9",1695,"tr_1"
2807,"FZ","59","59","632j","CDI","O","C","ct_9",1590,"tr_3"
2814,"QB","85","85","525d","CDI","O","C","ct_8",1820,"tr_3"
2828,"QB","42","42","461b","CDI","O","C","ct_8",1820,"tr_3"
2847,"IZ","93","75","541b","CDI","O","C","ct_9",759,"tr_1"
2857,"GZ","44","44","652a","CDI","O","C","ct_9",1679,"tr_1"
2858,"QB","82","82","431f","CDI","O","P","ct_8",1285,"tr_2"
2864,"GZ","78","78","634c","CDI","O","C","ct_9",2087,"tr_1"
2869,"GZ","93","94","477c","CDI","O","C","ct_9",1739,"tr_6"
2878,"OZ","17","17","451g","CDI","O","C","ct_2",1517,"tr_6"
2881,"CG","85","85","676c","CDI","O","C","ct_9",1582,"tr_4"
2891,"TZ","77","77","563c","TTP","O","P",NA,1548,NA
2894,"OZ","59","59","451g","CDI","O","C",NA,152,NA
2900,"QB","10","10","563b","CDI","O","C","ct_9",991,"tr_4"
2910,"CH","36","36","674d","CDI","O","C","ct_9",1053,"tr_5"
2918,"DZ","34","34","463b","CDI","O","C","ct_9",1771,"tr_5"
2919,"QA","09","09","526e","CDI","O","C","ct_9",2200,"tr_1"
2922,"CA","53","53","543g","CDI","O","C","ct_9",1820,"tr_6"
2930,"QA","37","37","344a","CDI","O","P","ct_3",249,"tr_6"
2946,"SZ","66","66","435b","CDI","O","C","ct_8",1610,"tr_1"
2967,"HZ","08","08","546b","CDI","O","C","ct_9",1665,"tr_4"
2971,"TZ","57","57","563c","CDI","O","C",NA,300,NA
2975,"QA","91","75","526a","CDI","O","C","ct_8",304,"tr_6"
2979,"OZ","77","77","526c","AUT","O","C","ct_2",1820,"tr_6"
3000,"EZ","95","95","543g","CDI","O","C","ct_9",1820,"tr_2"
3003,"PZ","49","49","421b","CDI","O","C","ct_8",1820,"tr_2"
3009,"QB","42","42","563b","CDI","O","P","ct_8",1086,"tr_6"
3015,"PZ","13","13","341a","CDI","O","P","ct_8",1602,"tr_3"
3022,"NZ","29","29","684a","CDI","O","P","ct_9",1573,"tr_3"
3026,"HZ","33","33","521a","CDI","O","P","ct_9",640,"tr_5"
3033,"CC","01","01","675b","CDI","O","C","ct_9",2200,"tr_4"
3039,"QB","29","29","526d","CDI","O","C","ct_8",1815,"tr_4"
3043,"QA","60","60","642b","CDI","O","C","ct_9",722,"tr_3"
3044,"FZ","77","93","481b","CDI","O","C","ct_9",1519,"tr_4"
3046,"QB",NA,NA,"525d","CDI","O","C","ct_8",1962,"tr_3"
3049,"PZ","17","85","341a","CDI","O","C","ct_8",1820,"tr_3"
3050,"SZ","67","67","423b","CDI","O","P","ct_8",820,"tr_2"
3052,"GZ","66","66","554g","CDI","O","P","ct_9",1341,"tr_2"
3053,"TZ","80","80","563c","TOA","O","C",NA,577,NA
3071,"QA","45","45","542a","CDI","O","C","ct_6",1539,"tr_1"
3077,"GZ","13","84","551a","CDI","O","C","ct_9",1913,"tr_5"
3083,"OZ","13","13","543g","CDI","O","C","ct_1",1820,"tr_5"
3107,"OZ","54","54","563a","AUT","O","C","ct_2",1820,"tr_6"
3109,"CE","69","69","487a","CDI","O","C","ct_9",1831,"tr_6"
3129,"PZ","59","59","423a","CDI","O","C","ct_9",1506,"tr_1"
3134,"PZ","68","68","542a","CDI","O","C","ct_9",1540,"tr_1"
3135,"QA","67","67","432b","CDI","O","C","ct_8",1991,"tr_5"
3136,"CC","69","01","543h","CDI","O","P","ct_9",193,"tr_1"
3140,"JA","93","75","465b","CDI","O","C","ct_9",1799,"tr_6"
3141,"HZ","75","75","466c","CDI","O","C","ct_5",2117,"tr_6"
