id,Job_desc,ECO_SECT,WORK_CONDITION,type_of_contract,Labor_force_status,job_dep,Working_hours,earnings,employer_type,EMPLOYEE_COUNT
690,"561b","IZ","P","CDI","O","01",1158,14210,"ct_9","tr_1"
696,"551a","GZ","C","APP","A","01",1396,7303,"ct_9","tr_2"
707,"526a","QB","C","CDI","O","01",1766,21264,"ct_8","tr_3"
710,"562b","SZ","C","CDI","O","01",1489,14087,"ct_9","tr_1"
715,"532a","OZ","C","AUT","O","36",2028,23506,"ct_1","tr_6"
716,"563c","TZ","C","TOA","O","01",637,11824,NA,NA
722,"422a","SZ","P","CDI","O","01",637,6500,"ct_8","tr_2"
728,"387b","GZ","C","CDI","O","90",1820,25935,"ct_9","tr_5"
744,"563a","QB","N","CDI","O","01",3000,16284,"ct_7","tr_1"
766,"526c","QA","C","CDI","O","01",1603,19841,"ct_8","tr_5"
778,"472a","FZ","C","CDI","O","01",1604,14731,"ct_9","tr_2"
780,"676e","QB","P","AUT","O","01",1133,4357,"ct_8","tr_5"
784,"525d","QB","C","CDI","O","69",1562,19557,"ct_8","tr_3"
796,"632g","FZ","C","CDI","O","01",1622,24596,"ct_9","tr_1"
806,"475b","CF","P","CDI","O","69",1582,29084,"ct_9","tr_6"
814,"461f","CK","C","CDI","O","01",1820,32143,"ct_9","tr_6"
815,"421b","SZ","C","AUT","O","01",1820,22822,"ct_8","tr_3"
816,"341a","PZ","C","CDI","O","01",1820,27466,"ct_8","tr_5"
830,"676c","HZ","C","CDI","O","01",1789,18499,"ct_9","tr_5"
833,"554b","GZ","C","CDI","O","01",991,10296,"ct_9","tr_1"
839,"333f","OZ","C","AUT","O","69",1819,31978,"ct_2","tr_6"
845,"372e","SZ","P","CDI","O","01",1316,22756,"ct_8","tr_1"
846,"467c","KZ","C","CDI","O","01",1738,33058,"ct_9","tr_1"
859,"681a","FZ","C","CDI","O","01",1197,10223,"ct_6","tr_1"
868,"421b","PZ","C","CDI","O","01",1820,19338,"ct_8","tr_2"
869,"479b","KZ","C","CDI","O","69",1645,24856,"ct_9","tr_3"
872,"434c","QB","C","CDI","O","01",1820,22051,"ct_8","tr_6"
883,"543b","NZ","C","CDI","O","01",1764,42845,"ct_9","tr_3"
884,"479b","QB","C","CDI","O","69",1491,21996,"ct_8","tr_3"
885,"545d","OZ","C","CDI","O","69",1517,21149,"ct_8","tr_5"
892,"383a","CL","C","CDI","O","69",1859,50340,"ct_9","tr_6"
896,"552a","GZ","P","CDI","O","01",496,5140,"ct_9","tr_4"
902,"526a","QA","C","CDI","O","71",1606,25803,"ct_9","tr_5"
905,"421b","PZ","C","CDI","O","01",1820,19471,"ct_8","tr_2"
914,"526b","MC","C","CDI","O","74",1087,18157,"ct_9","tr_1"
921,"526a","QB","C","CDI","O","01",1820,22017,"ct_8","tr_3"
928,"554e","GZ","P","CDI","O","01",334,3686,"ct_9","tr_2"
938,"463c","GZ","P","CDI","O","01",1747,34001,"ct_9","tr_3"
940,"628g","CC","C","CDI","O","01",1790,23185,"ct_9","tr_2"
945,"461f","LZ","C","CDI","O","01",1810,23395,"ct_9","tr_6"
949,"467c","KZ","C","CDI","O","69",1755,27776,"ct_9","tr_6"
950,"342f","GZ","C","CDI","O","01",1502,48467,"ct_9","tr_3"
953,"431f","QB","C","AUT","O","69",2028,30564,"ct_3","tr_5"
959,"451g","OZ","C","CDI","O","01",1820,22649,"ct_2","tr_4"
966,"554c","GZ","C","CDI","O","01",1820,16868,"ct_9","tr_2"
974,"388a","MA","C","CDI","O","69",1774,58930,"ct_9","tr_6"
992,"461d","MA","C","CDI","O","69",1851,32770,"ct_9","tr_3"
994,"684a","EZ","P","CDI","O","01",1176,12202,"ct_9","tr_3"
1004,"333f","QA","C","CDI","O","01",1820,61801,"ct_3","tr_6"
1005,"641b","HZ","C","CDI","O","01",1162,10663,"ct_5","tr_3"
1009,"641a","HZ","C","CDI","O","39",2568,28588,"ct_9","tr_3"
1010,"341a","PZ","C","CDI","O","69",1820,36075,"ct_8","tr_3"
1052,"467c","KZ","C","CDI","O","02",1820,20191,"ct_9","tr_1"
1056,"526a","QB","C","CDI","O","02",1820,18711,"ct_8","tr_4"
1061,"561c","IZ","C","TOA","O","38",612,7692,"ct_9","tr_5"
1078,"484a","CE","C","CDI","O","02",1827,35744,"ct_9","tr_6"
1091,"632j","FZ","C","CDI","O","94",1446,16453,"ct_9","tr_4"
1094,"546a","HZ","C","CDI","O","02",1638,25805,"ct_9","tr_5"
1096,"461d","NZ","C","TTP","O","92",1669,32384,"ct_9","tr_0"
1106,"526a","QB","C","CDI","O","02",1040,5389,"ct_9","tr_4"
1116,"435b","QB","C","CDI","O","02",1675,24443,"ct_9","tr_4"
1117,"373b","GZ","P","CDI","O","02",1846,50155,"ct_9","tr_6"
1119,"626b","CK","C","CDI","O","02",1880,19567,"ct_9","tr_5"
1120,"543g","CH","C","CDI","O","02",1847,24868,"ct_9","tr_5"
1121,"461f","LZ","C","CDI","O","92",1820,34301,"ct_9","tr_6"
1131,"525d","QB","P","CDI","O","02",686,7234,"ct_8","tr_4"
1133,"552a","GZ","C","CDI","O","77",1837,16963,"ct_9","tr_5"
1138,"534a","NZ","C","CDI","O","92",1909,18871,"ct_9","tr_6"
1141,"525d","QA","C","CDI","O","02",1840,16851,"ct_9","tr_6"
1146,"526a","QB","P","CDI","O","02",940,8574,"ct_8","tr_4"
1148,"621e","HZ","C","CDI","O","93",1820,28345,"ct_9","tr_4"
1151,"373c","GZ","C","CDI","O","02",1442,35713,"ct_9","tr_1"
1156,"551a","GZ","P","CDI","O","02",1370,15658,"ct_9","tr_4"
1158,"433d","GZ","C","CDI","O","02",2029,34547,"ct_9","tr_1"
1160,"525d","QA","C","CDI","O","02",1812,21907,"ct_3","tr_6"
1161,"431f","QA","C","CDI","O","02",1874,29308,"ct_8","tr_2"
1165,"554c","GZ","C","CDI","O","02",1722,17231,"ct_9","tr_1"
1166,"628g","CB","C","CDI","O","60",1472,26629,"ct_9","tr_5"
1171,"525d","QB","C","CDD","O","02",1344,14500,"ct_3","tr_4"
1173,"461e","HZ","C","CDI","O","75",1518,29509,"ct_9","tr_5"
1174,"526e","QA","C","CDI","O","51",1813,17933,"ct_9","tr_3"
1180,"641a","EZ","C","CDI","O","02",1395,19969,"ct_9","tr_4"
1191,"676e","NZ","C","CDI","O","02",1820,14421,"ct_9","tr_4"
1192,"423b","PZ","C","CDI","O","75",2028,24881,"ct_8","tr_2"
1193,"534a","RZ","C","CDI","O","77",1661,30170,"ct_9","tr_6"
1196,"551a","GZ","C","CDI","O","02",810,6191,"ct_9","tr_1"
1198,"676c","HZ","C","CDI","O","60",1820,19642,"ct_9","tr_6"
1201,"676c","IZ","C","CDI","O","95",1544,14317,"ct_9","tr_6"
1204,"632a","FZ","C","CDI","O","02",721,9555,"ct_9","tr_2"
1209,"637c","RZ","N","CDD","O","44",259,4625,"ct_8","tr_1"
1210,"433d","GZ","C","CDI","O","02",1441,17727,"ct_9","tr_1"
1218,"433a","QA","C","CDI","O","02",560,9607,"ct_9","tr_2"
1230,"524c","QB","C","CDI","O","02",2076,18784,"ct_2","tr_5"
1231,"422b","PZ","C","CDI","O","02",1820,25902,"ct_8","tr_3"
1245,"691d","NZ","P","CDI","O","51",154,2431,NA,"tr_3"
1259,"683a","GZ","C","CDI","O","02",1828,19207,"ct_9","tr_6"
1264,"652a","HZ","C","CDI","O","60",1820,21001,"ct_9","tr_6"
1268,"462b","GZ","C","CDI","O","51",1872,23349,"ct_9","tr_4"
1281,"526b","MC","C","CDI","O","02",1911,20845,"ct_9","tr_1"
1285,"674c","NZ","C","TTP","O","02",1124,15298,"ct_9","tr_1"
1286,"526a","QB","C","AUT","O","60",1819,28720,"ct_3","tr_3"
1289,"681a","FZ","C","CDI","O","02",1624,14796,"ct_9","tr_2"
1295,"341a","PZ","C","AUT","O","02",1820,31637,"ct_1","tr_4"
1302,"554f","GZ","C","CDI","O","02",1721,18471,"ct_9","tr_2"
1303,"625f","CA","C","CDI","O","02",916,8318,"ct_9","tr_6"
1306,"431d","GZ","C","CDI","O","80",989,18238,"ct_9","tr_1"
1310,"551a","GZ","C","CDI","O","02",1956,18284,"ct_9","tr_1"
1316,"563b","QB","P","CDD","O","02",255,2472,"ct_2","tr_4"
1318,"641a","HZ","C","CDI","O","02",2180,23653,"ct_9","tr_3"
1336,"461f","LZ","P","CDI","O","02",1547,18147,"ct_9","tr_1"
1349,"641b","HZ","C","CDI","O","93",2075,29545,"ct_5","tr_6"
1357,"465a","CC","C","CDI","O","02",1768,20637,"ct_9","tr_5"
1366,"551a","GZ","C","CDI","O","02",1820,16061,"ct_9","tr_5"
1367,"676d","CM","C","CDI","O","02",1472,28940,"ct_9","tr_4"
1372,"563b","QA","P","CDI","O","02",1560,12090,"ct_8","tr_6"
1382,"526b","QA","P","CDI","O","02",1460,26801,"ct_9","tr_1"
1386,"563c","QB","C","CDI","O","02",1820,18184,"ct_8","tr_3"
1388,"423b","PZ","C","CDI","O","60",1729,20369,"ct_9","tr_3"
1392,"525d","QA","C","CDI","O","02",1706,12919,"ct_9","tr_6"
1398,"543g","LZ","C","CDI","O","02",1802,28963,"ct_5","tr_5"
1407,"653a","CH","C","CDI","O","02",1442,19324,"ct_9","tr_3"
1413,"674d","CJ","C","CDI","O","02",1820,14708,"ct_9","tr_5"
1417,"542a","NZ","C","CDI","O","60",1629,16173,"ct_9","tr_4"
1425,"532a","OZ","C","AUT","O","36",2261,17880,"ct_1","tr_6"
1429,"628a","CK","C","CDI","O","02",1374,17343,"ct_9","tr_5"
1430,"636d","IZ","C","CDI","O","60",1247,13006,"ct_9","tr_1"
1435,"632k","QA","C","CDI","O","51",1819,20298,"ct_3","tr_6"
1436,"526a","QA","C","AUT","O","02",1820,24900,"ct_3","tr_6"
1440,"523d","QA","P","AUT","O","02",1638,21362,"ct_3","tr_6"
1443,"652a","HZ","C","CDI","O","02",2006,22982,"ct_9","tr_6"
1459,"372a","LZ","C","CDI","O","02",1820,39654,"ct_5","tr_5"
1462,"333c","HZ","C","CDI","O","02",1958,38499,"ct_9","tr_5"
1463,"682a","HZ","C","CDI","O","02",1523,16521,"ct_5","tr_5"
1466,"372b","CC","C","CDI","O","02",1785,48193,"ct_9","tr_3"
1467,"684b","EZ","C","CDI","O","02",1800,26738,"ct_9","tr_3"
1486,"621f","EZ","C","AUT","O","02",1870,18255,"ct_2","tr_4"
1488,"542a","GZ","C","CDI","O","75",1761,12007,"ct_9","tr_4"
1490,"472a","MA","C","CDI","O","02",1719,21037,"ct_9","tr_3"
1493,"621d","FZ","C","CDI","O","60",1697,27483,"ct_9","tr_4"
1499,"526e","QA","C","CDI","O","02",1832,16736,"ct_9","tr_3"
1503,"526a","QA","C","CDI","O","02",1782,16082,"ct_3","tr_5"
1507,"526a","QA","P","CDI","O","51",1073,28174,"ct_9","tr_5"
1515,"525d","QB","C","CDI","O","51",1637,21706,"ct_8","tr_4"
1519,"563c","TZ","P","CDI","O","02",235,1522,NA,NA
1527,"479b","CE","C","CDI","O","02",2028,31456,"ct_9","tr_2"
1537,"684a","GZ","P","CDI","O","02",1980,23711,"ct_9","tr_1"
1543,"691e","AZ","C","CDI","O","02",134,1048,NA,NA
1546,"431f","QA","C","AUT","O","02",1819,34690,"ct_3","tr_6"
1548,"553c","GZ","C","CDI","O","02",1366,15200,"ct_9","tr_1"
1552,"563a","TZ","N","CDI","O","02",546,5551,"ct_7","tr_0"
1561,"526a","QB","C","AUT","O","02",1820,22520,"ct_3","tr_3"
1579,"423b","PZ","C","CDI","O","02",1104,11744,"ct_8","tr_0"
1587,"676e","QB","P","AUT","O","02",907,5920,"ct_8","tr_4"
1590,"685a","CC","C","CDI","O","02",1568,14787,"ct_9","tr_2"
1594,"554b","GZ","C","CDI","O","02",1638,24959,"ct_9","tr_3"
1595,"652a","HZ","C","CDI","O","60",925,9724,"ct_9","tr_6"
1598,"672a","CJ","C","CDI","O","02",1303,14624,"ct_9","tr_4"
1608,"634c","GZ","C","APP","A","51",770,5513,"ct_9","tr_2"
1609,"374d","GZ","C","CDI","O","02",1715,31041,"ct_9","tr_1"
1623,"461f","SZ","C","CDI","O","02",1500,16075,"ct_9","tr_1"
1636,"673c","CH","C","CDI","O","02",1438,24045,"ct_9","tr_6"
1641,"421b","PZ","C","CDI","O","02",1820,20244,"ct_8","tr_2"
1646,"435b","IZ","C","CDI","O","02",1486,18166,"ct_9","tr_5"
1651,"676a","NZ","C","TTP","O","02",359,3558,"ct_9","tr_1"
1658,"653a","GZ","C","CDI","O","02",1886,22139,"ct_9","tr_6"
1659,"421b","PZ","C","CDI","O","02",1820,31837,"ct_8","tr_3"
1663,"643a","GZ","C","CDI","O","02",1890,17605,"ct_9","tr_1"
1668,"525d","QB","C","CDI","O","02",1654,18912,"ct_9","tr_4"
1672,"634b","FZ","C","CDI","O","02",1013,8848,"ct_9","tr_4"
1678,"526a","QB","C","CDI","O","02",1438,8499,"ct_8","tr_4"
1688,"634c","CM","C","CDI","O","02",2027,25045,"ct_9","tr_1"
1697,"676e","QB","C","AUT","O","02",1820,8440,"ct_8","tr_5"
1702,"423a","PZ","C","CDI","O","02",1293,14469,"ct_9","tr_1"
1704,"374b","GZ","C","CDI","O","92",1820,49779,"ct_9","tr_6"
1728,"341a","PZ","C","CDI","O","02",1820,38616,"ct_8","tr_4"
1735,"465a","MC","C","CDI","O","02",1717,21943,"ct_6","tr_1"
1744,"676c","GZ","C","CDI","O","59",1739,22894,"ct_9","tr_2"
1750,"488a","PZ","C","CDI","O","51",942,10712,"ct_8","tr_4"
1754,"342g","MB","C","CDI","O","80",1814,24695,"ct_1","tr_5"
1755,"481b","FZ","C","CDI","O","02",1654,30950,"ct_9","tr_5"
1757,"551a","GZ","P","CDI","O","02",450,4850,"ct_9","tr_4"
1774,"621f","OZ","C","AUT","O","02",1820,22953,"ct_1","tr_3"
1779,"542a","CM","C","CDI","O","02",1638,21562,"ct_9","tr_4"
1783,"542a","QB","C","CDI","O","95",1697,34573,"ct_9","tr_0"
1798,"641a","HZ","C","CDI","O","02",1999,20587,"ct_9","tr_3"
1807,"623d","CL","C","CDI","O","02",1659,31884,"ct_9","tr_6"
1808,"561d","IZ","P","CDI","O","77",897,8206,"ct_9","tr_1"
1810,"681a","FZ","C","CDI","O","75",1326,10041,"ct_9","tr_1"
1820,"563b","QB","P","CDI","O","02",1047,8771,"ct_9","tr_4"
1821,"475b","CE","C","CDI","O","02",1898,21101,"ct_9","tr_3"
1834,"341a","PZ","C","CDI","O","02",1820,38832,"ct_8","tr_4"
1837,"372c","CL","C","CDI","O","59",1619,61220,"ct_9","tr_6"
1840,"525d","QA","C","CDI","O","02",1793,18311,"ct_8","tr_6"
1846,"676e","NZ","C","CDI","O","02",1820,14698,"ct_9","tr_4"
1858,"525d","QB","C","CDI","O","02",1888,19732,"ct_8","tr_4"
1862,"626b","EZ","C","CDI","O","02",1100,21764,"ct_9","tr_0"
1863,"372a","KZ","C","CDI","O","95",1685,44519,"ct_9","tr_2"
1866,"341a","PZ","C","AUT","O","02",1820,24300,"ct_1","tr_4"
1870,"564b","SZ","P","CDI","O","75",1934,26789,"ct_8","tr_1"
1872,"633a","FZ","C","CDI","O","03",1677,16079,"ct_6","tr_1"
1879,"374a","SZ","C","CDI","O","03",175,6737,"ct_9","tr_0"
1881,"545c","KZ","C","CDI","O","03",2200,24250,"ct_8","tr_1"
1883,"561d","IZ","P","CDI","O","03",488,4667,"ct_6","tr_1"
1887,"481a","FZ","C","CDI","O","71",1718,30689,"ct_9","tr_3"
1889,"373d","CK","C","CDI","O","03",1288,27330,"ct_9","tr_3"
1907,"651a","FZ","C","CDI","O","03",1428,23106,"ct_9","tr_0"
1908,"543h","GZ","C","CDI","O","03",1881,18349,"ct_9","tr_1"
1909,"374a","GZ","C","CDI","O","03",1831,46979,"ct_9","tr_2"
1910,"385b","CC","C","CDI","O","63",1795,26071,"ct_9","tr_4"
1911,"477c","GZ","C","CDI","O","63",1435,24741,"ct_9","tr_0"
1920,"481a","FZ","C","CDI","O","03",1487,32351,"ct_9","tr_3"
1923,"526a","QB","C","CDI","O","03",1593,18777,"ct_8","tr_4"
1925,"487a","GZ","C","CDI","O","03",1519,21390,"ct_9","tr_3"
1938,"524c","OZ","P","CDD","O","03",733,5151,"ct_2","tr_5"
1948,"641b","HZ","P","CDI","O","03",1521,17224,"ct_9","tr_4"
1950,"622c","FZ","C","CDI","O","78",1680,18317,"ct_9","tr_6"
1953,"467c","KZ","C","CDI","O","03",1748,26964,"ct_9","tr_1"
1964,"684b","EZ","C","CDD","O","03",715,7280,"ct_9","tr_5"
1966,"373b","CL","C","CDI","O","03",1911,61762,"ct_9","tr_6"
1967,"676e","SZ","C","CDI","O","03",1755,14439,"ct_9","tr_4"
1973,"526e","QA","P","CDI","O","03",159,1540,"ct_9","tr_0"
1975,"563b","NZ","P","CDD","O","03",870,8429,"ct_8","tr_5"
1979,"563c","TZ","P","CDD","O","03",197,1744,NA,NA
1986,"481b","FZ","C","CDI","O","03",1704,24886,"ct_9","tr_2"
1987,"523b","PZ","P","CDI","O","03",277,18181,"ct_1","tr_3"
1989,"477b","FZ","C","CDI","O","63",1891,24621,"ct_9","tr_2"
1990,"475b","CH","C","CDI","O","03",1498,24097,"ct_9","tr_6"
1991,"431f","QA","C","CDI","O","03",1792,20968,"ct_1","tr_3"
1993,"471b","SZ","C","CDI","O","03",1456,16357,"ct_8","tr_2"
2010,"373a","NZ","C","CDI","O","03",1820,43197,"ct_9","tr_3"
2032,"472d","OZ","C","AUT","O","03",1820,37792,"ct_1","tr_3"
2035,"653a","CH","C","CDI","O","03",1777,27991,"ct_9","tr_3"
2041,"563b","QB","N","CDI","O","03",1351,10607,"ct_7","tr_1"
2048,"341a","OZ","C","AUT","O","63",1820,40428,"ct_1","tr_3"
2079,"423b","MA","P","CDI","O","63",1076,9307,"ct_9","tr_5"
2081,"625d","CA","C","CDI","O","03",1593,21644,"ct_9","tr_6"
2083,"621f","OZ","C","CDD","O","03",495,4659,"ct_2","tr_3"
2089,"563a","QB","N","CDI","O","03",370,1437,"ct_7","tr_1"
2097,"641a","HZ","C","CDI","O","63",2200,27971,"ct_9","tr_3"
2099,"526e","QA","C","CDI","O","18",1830,18274,"ct_9","tr_1"
2103,"674a","CG","C","CDI","O","03",1191,17068,"ct_9","tr_4"
